MUNI	g	h	hhh
ACHIRAS 	218777	211682	222896
ADELIA MARIA 	407304	394096	414974
AGUA DE ORO 	196437	190067	200136
ALCIRA 	349922	338574	356511
ALEJANDRO 	327849	317217	334022
ALEJO LEDESMA 	252246	244066	256996
ALICIA 	246577	238581	251221
ALMAFUERTE 	552521	534603	562926
ALPA CORRAL 	154474	149465	157383
ALTA GRACIA 	1958973	1895446	1995863
ALTO ALEGRE 	159053	153895	162048
ALTOS DE CHIPION 	191734	185516	195344
ANISACATE 	238676	230937	243171
ARIAS 	409778	396489	417494
ARROYITO 	978642	946906	997071
ARROYO ALGODON 	148556	143739	151354
ARROYO CABRAL 	233497	225925	237894
AUSONIA 	162126	156868	165179
BALLESTEROS 	271622	262814	276737
BALLESTEROS SUR 	143225	138581	145922
BALNEARIA 	368160	356221	375093
BELL VILLE 	1430867	1384467	1457813
BENGOLEA 	156630	151550	159579
BENJAMIN GOULD 	148856	144028	151659
BERROTARAN 	383342	370911	390561
BIALET MASSE 	322040	311597	328104
BRINCKMAN 	523035	506074	532885
BUCHARDO 	198294	191864	202028
BULNES 	162645	157370	165707
CALCHIN 	205306	198648	209172
CALCHIN OESTE 	152248	147311	155115
CAMILO ALDAO 	322434	311978	328505
CANALS 	472862	457528	481767
CAÑADA DE LUQUE 	171884	166310	175121
CAP. GRAL. B. O'HIGGINS 	138170	133689	140772
CAPILLA DEL CARMEN 	134265	129911	136793
CAPILLA DEL MONTE 	508260	491778	517831
CARNERILLO 	199533	193062	203290
CARRILOBO 	189145	183011	192707
CAVANAGH 	169512	164015	172704
CHAJAN 	149550	144700	152366
CHARRAS 	161863	156614	164911
CHAZON 	162917	157634	165985
CHILIBROSTE 	141769	137171	144438
CINTRA 	173031	167420	176289
COLAZO 	180967	175099	184375
COLONIA ALMADA 	139606	135079	142235
COLONIA BISMARCK 	135981	131571	138541
COLONIA CAROYA 	838721	811522	854515
COLONIA ITALIANA 	149190	144352	152000
COLONIA MARINA 	166016	160633	169143
COLONIA PROSPERIDAD 	132805	128498	135306
COLONIA SAN BARTOLOME 	171023	165477	174244
COLONIA TIROLESA 	314888	304677	320818
COLONIA VIGNAUD 	155960	150903	158897
CORDOBA 	48401642	46832055	49313113
CORONEL BAIGORRIA 	180743	174882	184147
CORONEL MOLDES 	472584	457258	481483
CORRAL DE BUSTOS 	524321	507318	534194
CORRALITO 	191230	185028	194831
COSQUIN 	869889	841680	886270
COSTASACATE 	173060	167448	176319
CRUZ ALTA 	398561	385637	406067
CRUZ DEL EJE 	1291708	1249820	1316033
DALMACIO VELEZ 	181909	176010	185335
DEAN FUNES 	963582	932335	981728
DEL CAMPILLO 	266142	257512	271154
DESPEÑADEROS 	376008	363814	383088
DEVOTO 	362712	350950	369543
EL ARAÑADO 	184123	178153	187591
EL BRETE 	197245	190848	200959
EL FORTIN 	175870	170167	179182
EL TIO 	192536	186292	196161
ELENA 	237500	229798	241972
EMBALSE 	441569	427250	449884
ESTACION GENERAL PAZ 	200691	194183	204471
ESTACION JUAREZ CELMAN 	563590	545313	574203
ETRURIA 	275828	266884	281023
FREYRE 	384426	371959	391665
GENERAL BALDISSERA 	208788	202018	212720
GENERAL CABRERA 	569369	550905	580091
GENERAL DEHEZA 	523452	506478	533310
GENERAL LEVALLE 	353563	342098	360221
GENERAL ROCA 	225280	217974	229522
GUATIMOZIN 	222232	215026	226417
HERNANDO 	537563	520130	547686
HUANCHILLAS 	164442	159109	167538
HUERTA GRANDE 	344974	333787	351470
HUINCA RENANCO 	488419	472580	497616
IDIAZABAL 	183582	177629	187040
INRIVILLE 	276436	267471	281642
ISLA VERDE 	294101	284564	299639
ITALO 	171711	166143	174945
JAMES CRAIK 	309743	299698	315576
JESUS MARIA 	1267546	1226442	1291416
JOVITA 	317714	307411	323697
JUSTINIANO POSSE 	441364	427051	449676
LA CALERA 	1253061	1212427	1276658
LA CARLOTA 	617784	597751	629418
LA CAUTIVA 	152793	147839	155671
LA CESIRA 	173262	167644	176525
LA CRUZ 	179077	173270	182449
LA CUMBRE 	369599	357613	376559
LA FALDA 	684344	662152	697231
LA FRANCIA 	274258	265365	279423
LA GRANJA 	229362	221924	233681
LA LAGUNA 	175459	169769	178763
LA PALESTINA 	141988	137384	144662
LA PAQUITA 	154558	149546	157469
LA PARA 	278321	269296	283563
LA PAZ 	247375	239353	252033
LA PLAYOSA 	226652	219302	230920
LA PUERTA 	215518	208529	219577
LA TORDILLA 	170423	164896	173632
LABORDE 	355804	344266	362504
LABOULAYE 	952943	922040	970888
LAGUNA LARGA 	410758	397438	418493
LAS ACEQUIAS 	207519	200789	211427
LAS ARRIAS 	173478	167852	176744
LAS HIGUERAS 	356058	344511	362763
LAS JUNTURAS 	186587	180536	190101
LAS PEÑAS 	182640	176718	186080
LAS PERDICES 	316032	305784	321984
LAS TAPIAS 	195974	189619	199664
LAS VARAS 	171984	166407	175223
LAS VARILLAS 	774494	749378	789078
LAS VERTIENTES 	152715	147763	155591
LASPIUR 	217093	210053	221181
LEONES 	534560	517225	544626
LOS CERRILLOS 	214973	208002	219021
LOS CISNES 	143584	138927	146287
LOS COCOS 	161757	156512	164803
LOS CONDORES 	235262	227633	239692
LOS SURGENTES 	234543	226937	238959
LOS ZORROS 	148197	143391	150987
LOZADA 	164272	158945	167366
LUCA 	142028	137422	144703
LUCIO V. MANSILLA 	158256	153124	161236
LUQUE 	350452	339088	357052
M U N I C I P I O 	JULIO 	AGOSTO 	SEPTIEMBRE
M U N I C I P I O 	JULIO 	AGOSTO 	SEPTIEMBRE
M U N I C I P I O 	JULIO 	AGOSTO 	SEPTIEMBRE
M U N I C I P I O 	JULIO 	AGOSTO 	SEPTIEMBRE
M U N I C I P I O 	JULIO 	AGOSTO 	SEPTIEMBRE
MALAGUEÑO 	608706	588966	620169
MALVINAS ARGENTINAS 	586510	567491	597555
MANFREDI 	156705	151623	159656
MARCOS JUAREZ 	1154215	1116786	1175950
MARULL 	191493	185284	195100
MATORRALES 	160155	154961	163170
MATTALDI 	197476	191072	201195
MELO 	170828	165289	174045
MENDIOLAZA 	423822	410078	431803
MINA CLAVERO 	469523	454297	478365
MIRAMAR 	208000	201254	211916
MONTE BUEY 	371831	359773	378833
MONTE CRISTO 	544832	527164	555092
MONTE DE LOS GAUCHOS 	149432	144586	152246
MONTE LEÑA 	139366	134846	141990
MONTE MAIZ 	405179	392040	412809
MONTE RALO 	142801	138170	145490
MORRISON 	250164	242052	254875
MORTEROS 	790398	764767	805282
NOETINGER 	312060	301941	317937
NONO 	201635	195096	205432
OBISPO TREJO 	227851	220462	232142
OLAETA 	144576	139887	147298
OLIVA 	602228	582699	613569
ONCATIVO 	610939	591128	622444
ORDOÑEZ 	222682	215461	226875
PAMPAYASTA SUD 	167181	161760	170329
PASCANAS 	230359	222888	234697
PASCO 	166360	160965	169493
PILAR 	647875	626865	660075
PIQUILLIN 	176871	171136	180202
PORTEÑA 	341321	330252	347748
POZO DEL MOLLE 	344754	333574	351246
PUEBLO ITALIANO 	184883	178887	188364
QUEBRACHO HERRADO 	134489	130127	137021
QUILINO 	332370	321592	338629
REDUCCION 	182999	177064	186445
RIO CEBALLOS 	827484	800650	843067
RIO CUARTO 	6214921	6013381	6331957
RIO DE LOS SAUCES 	169876	164367	173075
RIO PRIMERO 	427320	413463	435367
RIO SEGUNDO 	878519	850030	895063
RIO TERCERO 	1891139	1829813	1926752
ROSALES 	142665	138039	145352
SACANTA 	239166	231410	243670
SAIRA 	151965	147037	154827
SALDAN 	508788	492288	518369
SALSACATE 	211073	204229	215048
SALSIPUEDES 	455777	440997	464360
SAMPACHO 	427279	413423	435325
SAN AGUSTIN 	256313	248001	261140
SAN ANTONIO DE ARREDONDO 	249630	241535	254331
SAN ANTONIO DE LITIN 	171535	165972	174765
SAN BASILIO 	249344	241259	254040
SAN CARLOS MINAS 	188467	182355	192016
SAN ESTEBAN 	150871	145978	153712
SAN FRANCISCO 	2574572	2491083	2623054
SAN FRANCISCO DEL CHAÑAR 	252662	244468	257419
SAN JAVIER Y YACANTO 	181819	175923	185243
SAN JOSE 	205586	198919	209458
SAN JOSE DE LA DORMIDA 	321070	310658	327116
SAN JOSE DE LAS SALINAS 	150822	145931	153663
SAN MARCOS SIERRAS 	199811	193332	203574
SAN MARCOS SUD 	242328	234470	246892
SAN PEDRO 	308043	298054	313844
SAN PEDRO NORTE 	162350	157085	165407
SANTA CATALINA 	267130	258468	272161
SANTA EUFEMIA 	217972	210903	222076
SANTA MARIA 	436413	422261	444632
SANTA ROSA DE CALAMUCHITA 	577567	558838	588444
SANTA ROSA DE RIO PRIMERO 	448890	434334	457344
SANTIAGO TEMPLE 	225033	217736	229271
SARMIENTO 	177410	171656	180750
SEBASTIAN EL CANO 	224619	217335	228849
SEEBER 	150191	145321	153020
SERRANO 	247606	239577	252269
SERREZUELA 	232246	224714	236619
SILVIO PELLICO 	136212	131795	138777
SINSACATE 	177157	171413	180494
TANCACHA 	334672	323819	340974
TANTI 	339907	328884	346308
TICINO 	206752	200048	210646
TIO PUJIO 	225030	217733	229268
TOLEDO 	271706	262895	276823
TOSQUITA 	138527	134035	141135
TRANSITO 	241769	233929	246322
UCACHA 	326936	316334	333093
UNQUILLO 	772384	747337	786929
VALLE HERMOSO 	343510	332370	349979
VIAMONTE 	188977	182849	192536
VICUÑA MACKENNA 	527465	510360	537398
VILLA ALLENDE 	1134535	1097744	1155900
VILLA ASCASUBI 	212515	205624	216517
VILLA CARLOS PAZ 	2258937	2185683	2301477
VILLA CONCEPCION DEL TIO 	190133	183967	193713
VILLA CURA BROCHERO 	341374	330303	347802
VILLA DE LAS ROSAS 	270204	261442	275292
VILLA DE MARIA 	329911	319213	336124
VILLA DE SOTO 	467136	451988	475933
VILLA DEL DIQUE 	239579	231810	244090
VILLA DEL ROSARIO 	700663	677941	713857
VILLA DEL TOTORAL 	478746	463221	487762
VILLA DOLORES 	1291667	1249780	1315991
VILLA FONTANA 	158437	153299	161421
VILLA GIARDINO 	307626	297650	313419
VILLA GRAL. BELGRANO 	414310	400874	422112
VILLA HUIDOBRO 	360575	348882	367365
VILLA MARIA 	3109449	3008614	3168004
VILLA NUEVA 	843195	815850	859072
VILLA PQUE.SANTA ANA 	218538	211451	222653
VILLA ROSSI 	139945	135407	142580
VILLA RUMIPAL 	220420	213272	224571
VILLA SANTA CRUZ DEL LAGO 	204737	198098	208592
VILLA SARMIENTO 	315899	305655	321848
VILLA TULUMBA 	187009	180944	190530
VILLA VALERIA 	244140	236223	248738
VILLA YACANTO 	181499	175614	184917
WENCESLAO ESCALANTE 	179882	174049	183269
