COMUNAS 	2011 JUL	2011 AGO	2011 SEP	
ALDEA SANTA MARIA 	30375,36	30991,37	31580,04	ALDEA SANTA MARIA 
ALTO DE LOS QUEBRACHOS 	29447,02	30044,2	30614,87	ALTO DE LOS QUEBRACHOS
AMBOY 	33223,95	33897,73	34541,6	AMBOY 
AMBUL 	69236,73	70640,85	71982,63	AMBUL 
ANA ZUMARAN 	31616,1	32257,27	32869,98	ANA ZUMARAN 
ARROYO LOS PATOS 	54895,19	56008,47	57072,31	ARROYO LOS PATOS 
ASSUNTA 	25927,74	26453,56	26956,03	ASSUNTA 
ATAHONA 	33741,17	34425,44	35079,34	ATAHONA 
AVELLANEDA 	44263,6	45161,27	46019,08	AVELLANEDA 
BAÑADO DE SOTO 	62843,25	64117,71	65335,59	BAÑADO DE SOTO 
CABALANGO 	31702,79	32345,72	32960,11	CABALANGO 
CALMAYO 	27446,36	28002,97	28534,87	CALMAYO 
CAMINIAGA 	38757,31	39543,31	40294,41	CAMINIAGA 
CANDELARIA SUD 	36322,4	37059,01	37762,93	CANDELARIA SUD 
CAÑADA DE MACHADO 	33471,62	34150,42	34799,09	CAÑADA DE MACHADO 
CAÑADA DE RIO PINTO 	32745,62	33409,7	34044,3	CAÑADA DE RIO PINTO 
CAÑADA DEL SAUCE 	26565,08	27103,82	27618,64	CAÑADA DEL SAUCE 
CAPILLA DE LOS REMEDIOS 	73046,65	74528,03	75943,65	CAPILLA DE LOS REMEDIOS 
CAPILLA DE SITON 	45831,18	46760,63	47648,82	CAPILLA DE SITON 
CASA GRANDE 	49590,67	50597,37	51558,42	CASA GRANDE 
CERRO COLORADO 	42810,15	43678,34	44507,99	CERRO COLORADO 
CHALACEA 	33633,4	34315,48	34967,28	CHALACEA 
CHANCANI 	55370,16	56493,07	57566,12	CHANCANI 
CHAÑAR VIEJO 	32948,85	33617,05	34255,59	CHAÑAR VIEJO 
CHARBONIER 	46798,71	47747,78	48654,72	CHARBONIER 
CHUCUL 	38921,13	39710,45	40464,73	CHUCUL 
CHUÑA 	52154,67	53212,37	54223,11	CHUÑA 
CHUÑA HUASI 	35769,86	36495,27	37188,48	CHUÑA HUASI 
CHURQUI CAÑADA 	32091,21	32742,02	33363,94	CHURQUI CAÑADA 
CIENAGA DEL CORO 	59278,01	60480,17	61628,95	CIENAGA DEL CORO 
COLONIA ANITA 	22578,2	23036,09	23473,65	COLONIA ANITA 
COLONIA BARGE 	30846,03	31471,58	32069,37	COLONIA BARGE 
COLONIA BREMEN 	27673,01	28234,21	28770,51	COLONIA BREMEN 
COLONIA ITURRASPE 	23236,19	23707,42	24157,73	COLONIA ITURRASPE 
COLONIA LAS CUATRO ESQUINAS 	29805,23	30409,68	30987,3	COLONIA LAS CUATRO ESQUINAS 
COLONIA LAS PICHANAS 	35383,62	36101,2	36786,92	COLONIA LAS PICHANAS 
COLONIA SAN PEDRO 	28297,57	28871,44	29419,84	COLONIA SAN PEDRO 
COLONIA VALTELINA 	31688,78	32331,42	32945,54	COLONIA VALTELINA 
COLONIA VICENTE AGUERO 	38804,53	39591,48	40343,5	COLONIA VICENTE AGUERO 
COLONIA VIDELA 	25391,26	25906,19	26398,26	COLONIA VIDELA 
COMECHINGONES 	41343,5	42181,94	42983,16	COMECHINGONES 
CONLARA 	43339,78	44218,71	45058,62	CONLARA 
COPACABANA 	30491,02	31109,38	31700,28	COPACABANA 
CRUZ DE CAÑA 	37516,58	38277,41	39004,47	CRUZ DE CAÑA 
CUESTA BLANCA 	39274,39	40070,87	40832	CUESTA BLANCA 
DIEGO DE ROJAS 	51156,35	52193,8	53185,19	DIEGO DE ROJAS 
DIQUE CHICO 	34052,47	34743,05	35402,98	DIQUE CHICO 
EL CHACHO 	40655,16	41479,64	42267,52	EL CHACHO 
EL CRISPIN 	32339,39	32995,23	33621,96	EL CRISPIN 
EL MANZANO 	81592,79	83247,49	84828,72	EL MANZANO 
EL RASTREADOR 	26378,78	26913,74	27424,95	EL RASTREADOR 
EL RODEO 	40873,34	41702,25	42494,36	EL RODEO 
ESQUINA 	38971,12	39761,45	40516,7	ESQUINA 
ESTANCIA DE GUADALUPE 	49987,49	51001,24	51969,97	ESTANCIA DE GUADALUPE 
ESTANCIA VIEJA 	55553,32	56679,94	57756,55	ESTANCIA VIEJA 
EUFRASIO LOZA 	38310,36	39087,3	39829,74	EUFRASIO LOZA 
FALDA DEL CARMEN 	71156,61	72599,67	73978,66	FALDA DEL CARMEN 
GENERAL FOTHERINGHAM 	39890,63	40699,62	41472,68	GENERAL FOTHERINGHAM 
GUANACO MUERTO 	55794,57	56926,08	58007,36	GUANACO MUERTO 
GUASAPAMPA 	43329,35	44208,06	45047,77	GUASAPAMPA 
GUTEMBERG 	61731,97	62983,89	64180,24	GUTEMBERG 
IMPIRA 	29701,54	30303,89	30879,49	IMPIRA 
KILOMETRO 658 	40588,68	41411,82	42198,41	KILOMETRO 658 
LA BATEA 	33092,89	33764,02	34405,35	LA BATEA 
"LA CAROLINA ""EL POTOSI"" "	30612,66	31233,49	31826,75	"LA CAROLINA ""EL POTOSI"" "
LA CUMBRECITA 	64266,35	65569,67	66815,12	LA CUMBRECITA 
LA HIGUERA 	46499,23	47442,23	48343,37	LA HIGUERA 
LA PAISANITA 	27710,29	28272,26	28809,27	LA PAISANITA 
LA PAMPA 	59017,36	60214,23	61357,96	LA PAMPA 
LA PLAYA 	40273,15	41089,89	41870,37	LA PLAYA 
LA POBLACION 	46706,4	47653,6	48558,75	LA POBLACION 
LA POSTA 	35897,92	36625,93	37321,62	LA POSTA 
LA QUINTA 	33471,62	34150,42	34799,09	LA QUINTA 
LA RANCHERITA 	27910,09	28476,11	29016,99	LA RANCHERITA 
LA RINCONADA 	49033,53	50027,93	50978,18	LA RINCONADA 
LA SERRANITA 	41942,74	42793,34	43606,17	LA SERRANITA 
LAS ALBAHACAS 	45470,11	46392,25	47273,44	LAS ALBAHACAS 
LAS BAJADAS 	31069,61	31699,7	32301,82	LAS BAJADAS 
LAS CALERAS 	36553,43	37294,73	38003,12	LAS CALERAS 
LAS CALLES 	59793,55	61006,17	62164,94	LAS CALLES 
LAS CAÑADAS 	32752,63	33416,85	34051,59	LAS CAÑADAS 
LAS GRAMILLAS 	26947,67	27494,17	28016,4	LAS GRAMILLAS 
LAS ISLETILLAS 	35250,74	35965,62	36648,77	LAS ISLETILLAS 
LAS PALMAS 	33769,34	34454,18	35108,62	LAS PALMAS 
LAS PEÑAS SUD 	30172,79	30784,7	31369,43	LAS PEÑAS SUD 
LAS PLAYAS 	46412,47	47353,71	48253,17	LAS PLAYAS 
LAS RABONAS 	58632,07	59821,12	60957,39	LAS RABONAS 
LAS SALADAS 	30614,05	31234,9	31828,19	LAS SALADAS 
LEGUIZAMON 	25865,21	26389,75	26891,01	LEGUIZAMON 
LOS CEDROS 	73304,02	74790,62	76211,23	LOS CEDROS 
LOS CHAÑARITOS 	34501,61	35201,3	35869,93	LOS CHAÑARITOS 
LOS CHAÑARITOS (C.D.EJE) 	54998,96	56114,34	57180,2	LOS CHAÑARITOS (C.D.EJE) 
LOS HORNILLOS 	76531,55	78083,61	79566,76	LOS HORNILLOS 
LOS HOYOS 	36560,8	37302,25	38010,78	LOS HOYOS 
LOS MISTOLES 	30753,72	31377,4	31973,4	LOS MISTOLES 
LOS MOLINOS 	40470,47	41291,21	42075,51	LOS MOLINOS 
LOS POZOS 	28726,57	29309,14	29865,85	LOS POZOS 
LOS REARTES 	84488,01	86201,42	87838,77	LOS REARTES 
LOS TALARES 	28826,03	29410,62	29969,26	LOS TALARES 
LUTTI 	32440,6	33098,5	33727,18	LUTTI 
LUYABA 	96968,19	98934,7	100813,91	LUYABA 
MALENA 	36770,73	37516,44	38229,05	MALENA 
MAQUINISTA GALLINI 	29133,97	29724,81	30289,41	MAQUINISTA GALLINI 
MAYU SUMAJ 	74482,36	75992,87	77436,31	MAYU SUMAJ 
MEDIA NARANJA 	75385,1	76913,9	78374,84	MEDIA NARANJA 
MI GRANJA 	79403,42	81013,72	82552,53	MI GRANJA 
NICOLAS BRUZZONE 	33938,71	34626,98	35284,7	NICOLAS BRUZZONE 
OLIVARES DE SAN NICOLAS 	60437,89	61663,57	62834,84	OLIVARES DE SAN NICOLAS 
ONAGOITY 	26575,44	27114,39	27629,41	ONAGOITY 
PACHECO DE MELO 	25326,31	25839,93	26330,74	PACHECO DE MELO 
PAMPAYASTA NORTE 	26309,31	26842,87	27352,73	PAMPAYASTA NORTE 
PANAHOLMA 	52875,27	53947,58	54972,28	PANAHOLMA 
PASO DEL DURAZNO 	29838,87	30444,01	31022,27	PASO DEL DURAZNO 
PASO VIEJO 	82482,46	84155,2	85753,68	PASO VIEJO 
PINCEN 	38898,66	39687,52	40441,36	PINCEN 
PLAZA DE MERCEDES 	26516,33	27054,08	27567,96	PLAZA DE MERCEDES 
PLAZA LUXARDO 	32751,68	33415,88	34050,6	PLAZA LUXARDO 
POTRERO DE GARAY 	69358,89	70765,48	72109,63	POTRERO DE GARAY 
POZO NUEVO 	55299,02	56420,48	57492,15	POZO NUEVO 
PUESTO DE CASTRO 	28320,92	28895,27	29444,12	PUESTO DE CASTRO 
PUNTA DEL AGUA 	29837,56	30442,67	31020,91	PUNTA DEL AGUA 
RAFAEL GARCIA 	47935,31	48907,44	49836,41	RAFAEL GARCIA 
RANQUELES 	25348,2	25862,27	26353,5	RANQUELES 
RAYO CORTADO 	60603,25	61832,28	63006,75	RAYO CORTADO 
RINCON 	51203,85	52242,27	53234,58	RINCON 
RIO BAMBA 	28425,41	29001,88	29552,76	RIO BAMBA 
ROSARIO DEL SALADILLO 	39635,6	40439,41	41207,53	ROSARIO DEL SALADILLO 
SAGRADA FAMILIA 	25869,37	26394	26895,34	SAGRADA FAMILIA 
SALADILLO 	30846,03	31471,58	32069,37	SALADILLO 
SAN CLEMENTE 	29957,53	30565,06	31145,63	SAN CLEMENTE 
SAN GERONIMO 	49894,23	50906,09	51873,02	SAN GERONIMO 
SAN IGNACIO 	36357,57	37094,9	37799,5	SAN IGNACIO 
SAN JOAQUIN 	28527,87	29106,41	29659,27	SAN JOAQUIN 
SAN LORENZO 	73680,55	75174,79	76602,7	SAN LORENZO 
SAN ROQUE 	69325,23	70731,11	72073,6	SAN ROQUE 
SAN VICENTE 	108726,46	110931,43	113038,51	SAN VICENTE 
SANTA ELENA 	38705,43	39490,38	40240,47	SANTA ELENA 
SAUCE ARRIBA 	63681,92	64973,38	66207,52	SAUCE ARRIBA 
SEGUNDA USINA 	27446,36	28002,97	28534,87	SEGUNDA USINA 
SIMBOLAR 	41838,54	42687,02	43497,84	SIMBOLAR 
SUCO 	36819,55	37566,25	38279,8	SUCO 
TALA CAÑADA 	47858,69	48829,26	49756,75	TALA CAÑADA 
TALA HUASI 	28153,6	28724,55	29270,16	TALA HUASI 
TALAINI 	33942,5	34630,86	35288,65	TALAINI 
TINOCO 	44209,6	45106,17	45962,94	TINOCO 
TORO PUJIO 	38369,83	39147,97	39891,57	TORO PUJIO 
TOSNO 	37044,96	37796,23	38514,15	TOSNO 
TUCLAME 	59587,31	60796,72	61949,49	TUCLAME 
VALLE DE ANISACATE 	39845,32	40653,38	41425,57	VALLE DE ANISACATE 
VILLA AMANCAY 	45170,93	46086,99	46962,39	VILLA AMANCAY 
VILLA C.PAR. LOS REARTES 	62846,47	64120,99	65338,93	VILLA C.PAR. LOS REARTES 
VILLA CANDELARIA NORTE 	55241,66	56361,96	57432,52	VILLA CANDELARIA NORTE 
VILLA CERRO AZUL 	32188,7	32841,49	33465,3	VILLA CERRO AZUL 
VILLA CIUDAD DE AMERICA 	61119,08	62358,58	63543,04	VILLA CIUDAD DE AMERICA 
VILLA DE POCHO 	42989,23	43861,05	44694,16	VILLA DE POCHO 
VILLA DEL PRADO 	89334,19	91145,89	92877,15	VILLA DEL PRADO 
VILLA EL CHACAY 	30563,77	31183,61	31775,92	VILLA EL CHACAY 
VILLA ELISA 	22993,7	23460,02	23905,63	VILLA ELISA 
VILLA GUTIERREZ 	38921,21	39710,53	40464,81	VILLA GUTIERREZ 
VILLA LA BOLSA 	63466,14	64753,23	65983,18	VILLA LA BOLSA 
VILLA LOS AROMOS 	62167,76	63428,52	64633,31	VILLA LOS AROMOS 
VILLA LOS PATOS 	22518,44	22975,11	23411,51	VILLA LOS PATOS 
VILLA PARQUE SIQUIMAN 	83378,98	85069,91	86685,76	VILLA PARQUE SIQUIMAN 
VILLA QUILLINZO 	26320,26	26854,03	27364,11	VILLA QUILLINZO 
VILLA SAN ESTEBAN 	25311,35	25824,67	26315,19	VILLA SAN ESTEBAN 
VILLA SAN ISIDRO 	76799,65	78357,15	79845,49	VILLA SAN ISIDRO 
VILLA SARMIENTO 	42529,14	43391,63	44215,83	VILLA SARMIENTO 
WASHINGTON 	48646,93	49633,49	50576,25	WASHINGTON 
