"Mes","dia","Total"
"1","1","9"
"1","2","44"
"1","3","115"
"1","4","11"
"1","5","5"
"1","6","53"
"1","7","125"
"1","8","77"
"1","9","60"
"1","10","63"
"1","11","11"
"1","12","8"
"1","13","40"
"1","14","59"
"1","15","129"
"1","16","122"
"1","17","92"
"1","18","30"
"1","19","38"
"1","20","221"
"1","21","143"
"1","22","173"
"1","23","106"
"1","24","121"
"1","25","30"
"1","26","49"
"1","27","133"
"1","28","111"
"1","29","206"
"1","30","128"
"1","31","94"
"2","1","86"
"2","2","39"
"2","3","164"
"2","4","170"
"2","5","211"
"2","6","242"
"2","7","378"
"2","8","90"
"2","9","110"
"2","10","341"
"2","11","213"
"2","12","318"
"2","13","263"
"2","14","369"
"2","15","161"
"2","16","135"
"2","17","347"
"2","18","322"
"2","19","348"
"2","20","291"
"2","21","277"
"2","22","271"
"2","23","136"
"2","24","556"
"2","25","1803"
"2","26","2672"
"2","27","3301"
"2","28","2488"
"3","1","1528"
"3","2","591"
"3","3","5383"
"3","4","1789"
"3","5","256"
"3","6","79"
"3","7","105"
"3","8","48"
"3","10","88"
"3","11","96"
"3","12","91"
"3","13","103"
"3","14","289"
"3","15","36"
"3","16","16"
"3","17","49"
"3","18","268"
"3","19","151"
"3","20","117"
"3","21","144"
"3","22","27"
"3","23","20"
"3","24","43"
"3","25","105"
"3","26","149"
"3","27","269"
"3","28","188"
"3","29","28"
"3","30","23"
"3","31","228"
"4","1","178"
"4","2","37"
"4","3","119"
"4","4","309"
"4","5","46"
"4","6","42"
"4","7","248"
"4","8","189"
"4","9","108"
"4","10","209"
"4","11","154"
"4","12","24"
"4","13","23"
"4","14","306"
"4","15","173"
"4","16","269"
"4","17","52"
"4","18","23"
"4","19","26"
"4","20","30"
"4","21","284"
"4","22","213"
"4","23","202"
"4","24","208"
"4","25","211"
"4","26","34"
"4","27","28"
"4","28","237"
"4","29","186"
"4","30","197"
"5","1","29"
"5","2","44"
"5","3","32"
"5","4","36"
"5","5","166"
"5","6","191"
"5","7","356"
"5","8","251"
"5","9","196"
"5","10","120"
"5","11","49"
"5","12","132"
"5","13","204"
"5","14","208"
"5","15","239"
"5","16","323"
"5","17","135"
"5","18","59"
"5","19","147"
"5","20","237"
"5","21","329"
"5","22","242"
"5","23","216"
"5","24","134"
"5","25","55"
"5","26","129"
"5","27","237"
"5","28","264"
"5","29","220"
"5","30","249"
"5","31","153"
"6","1","42"
"6","2","177"
"6","3","227"
"6","4","230"
"6","5","268"
"6","6","254"
"6","7","136"
"6","8","49"
"6","9","152"
"6","10","146"
"6","11","376"
"6","12","224"
"6","13","207"
"6","14","37"
"6","15","35"
"6","16","268"
"6","17","242"
"6","18","226"
"6","19","223"
"6","20","133"
"6","21","48"
"6","22","40"
"6","23","189"
"6","24","238"
"6","25","246"
"6","26","236"
"6","27","229"
"6","28","145"
"6","29","58"
"6","30","133"
"7","1","236"
"7","2","220"
"7","3","266"
"7","4","173"
"7","5","157"
"7","6","61"
"7","7","178"
"7","8","244"
"7","9","149"
"7","10","150"
"7","11","279"
"7","12","142"
"7","14","174"
"7","15","298"
"7","16","257"
"7","17","262"
"7","18","250"
"7","19","72"
"7","20","60"
"7","21","284"
"7","22","262"
"7","23","295"
"7","24","299"
"7","25","267"
"7","26","143"
"7","27","75"
"7","28","186"
"7","29","275"
"7","30","256"
"7","31","134"
"8","1","364"
"8","2","164"
"8","3","72"
"8","4","243"
"8","5","304"
"8","6","290"
"8","7","255"
"8","8","241"
"8","9","135"
"8","10","32"
"8","11","170"
"8","12","264"
"8","13","283"
"8","14","249"
"8","15","244"
"8","16","155"
"8","17","42"
"8","18","55"
"8","19","166"
"8","20","238"
"8","21","291"
"8","22","282"
"8","23","155"
"8","24","65"
"8","25","139"
"8","26","284"
"8","27","288"
"8","28","222"
"8","29","225"
"8","30","44"
"8","31","44"
"9","1","273"
"9","2","194"
"9","3","289"
"9","4","355"
"9","5","277"
"9","6","170"
"9","7","41"
"9","8","163"
"9","9","246"
"9","10","277"
"9","11","337"
"9","12","105"
"9","13","57"
"9","14","41"
"9","15","445"
"9","16","268"
"9","17","293"
"9","18","201"
"9","19","274"
"9","20","157"
"9","21","44"
"9","22","508"
"9","23","372"
"9","24","404"
"9","25","588"
"9","26","399"
"9","27","216"
"9","28","86"
"9","29","221"
"9","30","280"
"10","1","309"
"10","2","305"
"10","3","294"
"10","4","158"
"10","5","86"
"10","6","221"
"10","7","313"
"10","8","320"
"10","9","301"
"10","10","305"
"10","11","198"
"10","12","63"
"10","13","83"
"10","14","160"
"10","15","246"
"10","16","293"
"10","17","264"
"10","18","183"
"10","19","64"
"10","20","193"
"10","21","311"
"10","22","322"
"10","23","302"
"10","24","299"
"10","25","184"
"10","26","80"
"10","27","176"
"10","28","252"
"10","29","270"
"10","30","252"
"10","31","423"
"11","1","187"
"11","2","97"
"11","3","251"
"11","4","335"
"11","5","342"
"11","6","349"
"11","7","253"
"11","8","176"
"11","9","50"
"11","10","180"
"11","11","240"
"11","12","388"
"11","13","256"
"11","14","254"
"11","15","167"
"11","16","26"
"11","17","196"
"11","18","264"
"11","19","278"
"11","20","268"
"11","21","282"
"11","22","134"
"11","23","74"
"11","24","88"
"11","25","385"
"11","26","641"
"11","27","533"
"11","28","591"
"11","29","357"
"11","30","179"
"12","1","438"
"12","2","554"
"12","3","782"
"12","4","532"
"12","5","523"
"12","6","364"
"12","7","105"
"12","8","55"
"12","9","302"
"12","10","506"
"12","11","562"
"12","12","491"
"12","13","342"
"12","14","119"
"12","15","367"
"12","16","547"
"12","17","560"
"12","18","472"
"12","19","432"
"12","20","250"
"12","21","141"
"12","22","412"
"12","23","473"
"12","24","335"
"12","25","89"
"12","26","172"
"12","27","140"
"12","28","98"
"12","29","531"
"12","30","469"
"12","31","341"
