"server", "cantidad"
Web, "2"
Varnish, "11"
Not available, "2"
Apache mod_perl, "1"
WebSEAL, "1"
Seaside Servlet Server - VA Smalltalk V8.5.2 (UNIX): Seaside 3.0.7, "4"
uc-httpd 1.0.0, "1"
Unknown, "6"
sd_1, "6"
L3-2, "4"
.V02 Apache, "75"
IBM HTTP Server Version 6.4 - AIX 6.1, "2"
PasteWSGIServer, "2"
Sun Java System Application Server 9.1_02, "2"
GSE, "1839"
Werkzeug, "3"
WebCit 7.83 , "2"
Zope, "7"
Oracle-Application-Server-10g, "8"
Ning HTTP Server 2.0, "9"
LiteSpeed, "1132"
GlassFish Server Open Source Edition 3.1.2.2, "4"
RBT_Server, "1"
4.0.1, "3"
BigIP, "6"
BWS, "1"
NOYB, "136"
Jetty(9.2.3.v20140905), "2"
myracloud, "1"
RosenProd, "1"
sffe, "31"
Nginx, "1"
Jetty(9.1.3.v20140225), "1"
FirstData, "10"
tsa_b, "11"
public.apu8.aus, "200"
Apache, "157123"
GlassFish Server Open Source Edition 3.0.1, "3"
IBM-PROXY-WTE, "1"
Virata-EmWeb, "1"
IA Web Server, "2"
.V05 Apache, "101"
cisco-IOS, "2"
LightTPD, "1"
Apache mod_bwlimited, "2"
Enterprise by HansaWorld 7.0 2013-07-08, "1"
Web Server, "2"
Oracle-Application-Server-11g Oracle-Web-Cache-11g, "2"
DNSME HTTP Redirection, "10"
Clubmed, "1"
Apache-Coyote, "283"
Oracle-Application-Server-11g, "5"
.V01 Apache, "80"
GlassFish Server Open Source Edition  4.1, "2"
GlassFish Server Open Source Edition  4.0, "1"
Jetty(8.1.9.v20130131), "1"
nginx + Phusion Passenger 4.0.57, "1"
JW_Server 1, "1"
Rapidsite, "9"
RHS, "3"
.V06 Apache, "110"
OwnServer1.0, "1"
TwistedWeb, "2"
nginx + Phusion Passenger 3.0.21, "1"
Oracle-Traffic-Director, "1"
public.apu7.aus, "243"
mini_httpd, "3"
NotAvailable, "1"
Router Webserver, "3"
www.lexisnexis.com  9900, "3"
Apache 2.x, "1"
shakti-prod i-d3b39a29, "1"
Abyss, "1"
app4, "1"
cocos2d, "1"
123domain.eu-Redirect, "3"
LANX0-2-PXV02, "2"
hosting, "106"
thin 1.6.1 codename Death Proof, "3"
WEBrick, "18"
Sun GlassFish Enterprise Server v2.1.1, "1"
IceWarp, "1"
Footprint Distributor V4.10, "4"
Snoodlenator 7, "1"
.V08 Apache, "123"
ezHostingServer, "1"
Netscape-Enterprise, "2"
public.app35.aus, "217"
NONE, "1"
RomPager, "9"
Viajeros2-ECFE5, "1"
PagespeedRewriteProxy 0.1, "1"
Zeus, "2"
SSWS, "2"
Terra Web Server, "2"
IBM_HTTP_Server, "115"
Kerio Connect 8.3.1, "1"
yakaz Web Server, "1"
thin 1.6.2 codename Doc Brown, "7"
Microsoft-HTTPAPI, "340"
L3-1, "1"
NetDNA-cache, "8"
WS, "3"
EdgePrism, "1"
WWW Server, "3"
FirstClass, "1"
gunicorn, "18"
Oracle-iPlanet-Web-Server, "2"
shakti-prod i-ee916012, "1"
CDCE, "3"
ZGS, "13"
Server, "7"
PSI - UNC, "1"
Zinc HTTP Components 1.0, "1"
nginx admin, "1310"
thin 1.5.0 codename Knife, "1"
Jetty(6.1.x), "1"
at&t, "2"
SDDArgentina, "3"
Mrvl-R1_0, "1"
JAGeX, "3"
CXLWS, "1"
OpenOrange, "1"
Microsoft-IIS, "34260"
Footprint Distributor V4.8, "1"
Apache-AdvancedExtranetServer, "563"
H3rr, "1"
OpenCms, "4"
Kerio Connect 7.0.0, "2"
Oracle HTTP Server Powered by Apache, "1"
gws, "61"
Ribose, "1"
AuM Web Server, "1"
Jetty(9.2.2.v20140723), "2"
Yes, "1"
Lighttpd, "2"
IdeaWebServer, "2"
lighttpd 1.4.29 - AndroPHP 1.2.0, "1"
- Web acceleration by http:, "12"
SAMBAR, "6"
MochiWeb, "1"
Play! Framework;1.2.4;prod, "1"
GitHub.com, "27"
NetNames, "105"
Xb2.NET, "2"
Jetty, "2"
Jetty(6.1.24), "1"
WebServer, "10"
ATS, "352"
Boa, "1"
Google Frontend, "38"
., "1"
Mathopd, "1"
Jetty(8.1.3.v20120416), "1"
uServ, "5"
httpd, "3"
GeoHttpServer, "11"
CherryPy, "3"
uc-httpd, "2"
Pagely Gateway, "1"
*, "9"
Play! Framework;1.2.7;prod, "4"
Cherokee, "2"
Adrastea-3, "2"
Mikrotik HttpProxy, "2"
ws2, "1"
ECS, "1"
otdls2276, "1"
Web Services, "1"
sws, "2"
mApache, "7"
.V04 Apache, "126"
ngx_openresty, "1"
Tomahawk Ultra, "44"
IP_SHARER WEB 1.0, "1"
PAW Server 0.95-android (Brazil, "1"
Oracle Application Server, "1"
micro_httpd, "13"
Cowboy, "39"
KFWebServer, "1"
lighttpd, "262"
Resin, "13"
Sun-ONE-Web-Server, "6"
Consultix Webserver, "8"
Jetty(winstone-2.8), "1"
PRTG, "1"
public.app34.aus, "133"
Webs.com, "5"
shakti-prod i-cf016b3f, "1"
none, "5"
Netwave IP Camera, "1"
Jetty(9.2.4.v20141028), "11"
Grupo Leviminond, "3"
ghs, "494"
Tropical Server Cloud Hosting, "4"
Flywheel, "1"
ATLAS Platform, "1"
Delta Airlines, "2"
thin, "6"
openresty, "18"
cloudns-nginx, "4"
server, "1"
Oracle GlassFish Server 3.1, "1"
IBM WebSphere  Server Version 6.4 - AIX 6.1, "1"
WebSite, "1"
DPS, "10"
Kigo, "2"
Gerdau, "1"
squid, "12"
am, "2"
ECS (lga, "2"
---, "3"
Proxy-BispoMacedo, "1"
Squeegit, "1"
AmazonS3, "49"
ECS (dca, "1"
Demandware eCommerce Server, "41"
TELMEX, "1"
ECD (ewr, "1"
public.app49.aus, "228"
WDaemon, "23"
TornadoServer, "1"
IIS, "5"
Apache PivotalWebServer, "1"
Ipswitch 1.0, "1"
Educatina ES App 01, "1"
-, "5"
PRIVATE, "2"
Apache mod_fcgid, "394"
uClinux-httpd 0.2.2, "1"
senginx, "1"
Avantemedia, "1"
cloudflare-nginx, "969"
BaseHTTP, "33"
Varnish (MISS), "3"
JAS BHV3, "1"
Apache Phusion_Passenger, "68"
Mongrel 1.1.5, "1"
Sun-Java-System-Web-Server, "7"
DNI, "1"
cpsrvd, "5"
NetTalk-WebServer, "2"
Day-Servlet-Engine, "1"
Chita Server, "2"
ustream, "3"
unicorn, "1"
public.app36.aus, "236"
Sucuri, "3"
4D, "2"
QueBarato!, "1"
Ironwall, "2"
AkamaiGHost, "18"
gwiseguy, "6"
Hiawatha v9.12, "1"
PWS, "14"
nginx, "31712"
SAP J2EE Engine, "3"
thin 1.2.6 codename Crazy Delicious, "5"
Cross Web Server, "2"
thin 1.5.1 codename Straight Razor, "5"
.V03 Apache, "102"
Lotus-Domino, "25"
Linux, "1"
sputnik3.aus, "1"
public.app37.aus, "212"
Kerio MailServer 6.6.2, "1"
shw, "1"
.V07 Apache, "97"
GFE, "1"