"server_version", "cantidad"
.V01 Apache_, "80"
sd_1_, "6"
TELMEX_, "1"
ZGS_, "13"
Jetty(6.1.24)_, "1"
BigIP_, "6"
L3-1_, "1"
Microsoft-IIS_5.1, "23"
nginx_1.2, "235"
nginx_1.1, "133"
nginx_1.0, "78"
nginx_1.7, "82"
nginx_1.6, "9945"
nginx_1.5, "4"
nginx_1.4, "720"
shakti-prod i-d3b39a29_, "1"
Tropical Server Cloud Hosting_, "4"
Apache-Coyote_1.1, "283"
MochiWeb_1.1, "1"
Jetty(8.1.9.v20130131)_, "1"
shakti-prod i-ee916012_, "1"
IA Web Server_, "2"
WDaemon_10.0, "10"
Microsoft-IIS_8.0, "1103"
NetTalk-WebServer_8.28, "1"
-_, "5"
Microsoft-IIS_7.0, "3934"
KFWebServer_2.5, "1"
Microsoft-IIS_8.5, "847"
Microsoft-IIS_7.5, "16764"
WebServer_, "10"
CDCE_, "3"
cocos2d_, "1"
RBT_Server_, "1"
mApache_, "7"
4.0.1_, "3"
Kerio Connect 8.3.1_, "1"
cpsrvd_11.44, "2"
AuM Web Server_, "1"
IceWarp_10.0, "1"
httpd_, "3"
Oracle-Application-Server-11g Oracle-Web-Cache-11g_11.1, "2"
JAS BHV3_, "1"
NOYB_, "136"
PasteWSGIServer_0.5, "2"
Lotus-Domino_, "25"
cpsrvd_11.48, "3"
OpenCms_8.0, "2"
gws_, "61"
squid_2.7, "1"
squid_2.5, "1"
AmazonS3_, "49"
Chita Server_, "2"
ATLAS Platform_, "1"
uc-httpd_1.0, "2"
senginx_1.5, "1"
Zope_(2.12, "1"
Educatina ES App 01_, "1"
Apache_2, "9604"
Oracle Application Server_10g, "1"
GlassFish Server Open Source Edition  4.0_, "1"
lighttpd_1.4, "218"
Cowboy_, "39"
GSE_, "1839"
Apache_, "72620"
public.app49.aus_, "228"
.V08 Apache_, "123"
Jetty(9.2.4.v20141028)_, "11"
Oracle-Application-Server-10g_10.1, "8"
openresty_, "2"
Sun GlassFish Enterprise Server v2.1.1_, "1"
IBM_HTTP_Server_, "101"
Play! Framework;1.2.4;prod_, "1"
Mongrel 1.1.5_, "1"
Jetty(9.2.3.v20140905)_, "2"
squid_, "3"
.V05 Apache_, "101"
LANX0-2-PXV02_, "2"
shw_, "1"
Web Services_, "1"
IdeaWebServer_v0.80, "2"
Rapidsite_Apa, "9"
yakaz Web Server_, "1"
app4_, "1"
Virata-EmWeb_R6_0_1, "1"
Microsoft-IIS_4.0, "13"
WebCit 7.83 _, "2"
Kigo_, "2"
JW_Server 1_, "1"
Kerio MailServer 6.6.2_, "1"
Varnish (MISS)_, "3"
IBM WebSphere  Server Version 6.4 - AIX 6.1_, "1"
Apache mod_bwlimited_1.4, "2"
nginx_0.7, "360"
Zeus_4.3, "2"
Apache mod_perl_2.0, "1"
ECS_HTTP-Server, "1"
Microsoft-IIS_6.0, "9992"
nginx admin_, "1310"
ATS_, "39"
lighttpd_, "44"
thin 1.5.0 codename Knife_, "1"
IBM_HTTP_Server_6.1, "10"
nginx_0.8, "18"
Boa_0.94, "1"
Adrastea-3_, "2"
Footprint Distributor V4.10_, "4"
squid_3.1, "2"
ATS_3.0, "1"
Apache PivotalWebServer_, "1"
am_2, "2"
Sun-ONE-Web-Server_6.1, "6"
squid_3.0, "1"
thin 1.6.2 codename Doc Brown_, "7"
QueBarato!_, "1"
Sun-Java-System-Web-Server_7.0, "7"
JAGeX_3.1, "3"
NotAvailable_, "1"
Zope_(Zope, "4"
Tomahawk Ultra_, "44"
Apache 2.x_, "1"
Day-Servlet-Engine_4.1, "1"
IIS_, "5"
ECD (ewr_15A3), "1"
Web Server_, "2"
Server_, "7"
L3-2_, "4"
Jetty(9.2.2.v20140723)_, "2"
thin_, "6"
Ironwall_servweb741, "2"
ws2_, "1"
NetTalk-WebServer_6.55, "1"
ECS (lga_13B4), "1"
GFE_2.0, "1"
server_, "1"
Oracle-Application-Server-11g_, "5"
PSI - UNC_, "1"
Pagely Gateway_1.45, "1"
Apache_ProXad, "1"
WEBrick_1.3, "18"
Jetty(6.1.x)_, "1"
DNSME HTTP Redirection_, "10"
ECS (dca_2472), "1"
sputnik3.aus_, "1"
Footprint Distributor V4.8_, "1"
Resin_3.0, "10"
public.apu8.aus_, "200"
hosting_, "106"
Enterprise by HansaWorld 7.0 2013-07-08_, "1"
AkamaiGHost_, "18"
RomPager_4.07, "9"
ezHostingServer_, "1"
public.apu7.aus_, "243"
ghs_, "494"
openresty_1.5, "14"
Netscape-Enterprise_4.0, "2"
Web_2, "2"
tsa_b_, "11"
Cherokee_1.0, "1"
BaseHTTP_0.3, "33"
Sun Java System Application Server 9.1_02_, "2"
nginx_1.3, "3"
Squeegit_1.2, "1"
Oracle GlassFish Server 3.1_, "1"
Demandware eCommerce Server_, "41"
PAW Server 0.95-android (Brazil_2.0), "1"
thin 1.5.1 codename Straight Razor_, "5"
Zope_, "1"
PWS_8.1, "14"
otdls2276_, "1"
Gerdau_, "1"
Jetty(8.1.3.v20120416)_, "1"
public.app36.aus_, "236"
Apache-AdvancedExtranetServer_2.0, "19"
Varnish_, "11"
DNI_, "1"
public.app34.aus_, "133"
RHS_, "3"
---_, "3"
public.app35.aus_, "217"
Jetty(9.1.3.v20140225)_, "1"
Apache_1.3, "3339"
Xb2.NET_3.2, "2"
unicorn_, "1"
NONE_, "1"
Delta Airlines_, "2"
LiteSpeed_, "1132"
Mikrotik HttpProxy_, "2"
Webs.com_1.0, "5"
H3rr_, "1"
GlassFish Server Open Source Edition 3.0.1_, "3"
cloudflare-nginx_, "969"
Mathopd_1.5p6, "1"
CherryPy_2.3, "3"
ustream_web, "3"
Viajeros2-ECFE5_, "1"
Flywheel_3.1, "1"
Kerio Connect 7.0.0_, "2"
Oracle-Traffic-Director_11.1, "1"
Avantemedia_, "1"
myracloud_, "1"
www.lexisnexis.com  9900_, "3"
Router Webserver_, "3"
Netwave IP Camera_, "1"
Oracle HTTP Server Powered by Apache_1.3, "1"
TornadoServer_4.0, "1"
Google Frontend_, "38"
OpenOrange_1.1, "1"
Werkzeug_0.9, "2"
PagespeedRewriteProxy 0.1_, "1"
Linux_2.x, "1"
uClinux-httpd 0.2.2_, "1"
GitHub.com_, "27"
Sucuri_Cloudproxy, "3"
cisco-IOS_, "2"
Hiawatha v9.12_, "1"
SAMBAR_, "6"
EdgePrism_4.2, "1"
GeoHttpServer_, "11"
OpenCms_8.5, "2"
.V02 Apache_, "75"
GlassFish Server Open Source Edition 3.1.2.2_, "4"
Zinc HTTP Components 1.0_, "1"
IP_SHARER WEB 1.0_, "1"
Play! Framework;1.2.7;prod_, "4"
thin 1.2.6 codename Crazy Delicious_, "5"
Microsoft-HTTPAPI_1.0, "5"
nginx + Phusion Passenger 3.0.21_, "1"
Resin_3.1, "1"
PRIVATE_, "2"
GlassFish Server Open Source Edition  4.1_, "2"
ATS_5.0, "23"
Yes_, "1"
.V04 Apache_, "126"
OwnServer1.0_, "1"
.V06 Apache_, "110"
micro_httpd_, "13"
CXLWS_, "1"
FirstData_, "10"
Seaside Servlet Server - VA Smalltalk V8.5.2 (UNIX): Seaside 3.0.7_, "4"
Cherokee_1.2, "1"
IBM_HTTP_Server_7.0, "1"
Mrvl-R1_0_, "1"
Grupo Leviminond_, "3"
WDaemon_9.0, "11"
Consultix Webserver_, "8"
WDaemon_9.6, "2"
at&t_, "2"
Apache Phusion_Passenger_4.0, "68"
123domain.eu-Redirect_1.1, "3"
Apache_2.0, "729"
.V03 Apache_, "102"
Apache_2.2, "59944"
Apache_2.4, "10778"
ECS (lga_1318), "1"
- Web acceleration by http:_, "12"
lighttpd 1.4.29 - AndroPHP 1.2.0_, "1"
squid_2.6, "3"
nginx_0.6, "2"
nginx + Phusion Passenger 4.0.57_, "1"
LightTPD_1.4, "1"
WS_, "3"
NetNames_, "105"
SSWS_, "2"
*_, "9"
nginx_, "20132"
IBM HTTP Server Version 6.4 - AIX 6.1_, "2"
Ning HTTP Server 2.0_, "9"
PRTG_13.1, "1"
Abyss_2.5, "1"
WebSite_3.5, "1"
uServ_3.2, "5"
gunicorn_0.14, "2"
SAP J2EE Engine_7.01, "3"
WWW Server_1.1, "3"
gunicorn_0.17, "5"
public.app37.aus_, "212"
squid_3.4, "1"
Lighttpd_, "2"
mini_httpd_1.19, "3"
ngx_openresty_1.4, "1"
Ipswitch 1.0_, "1"
sws_, "2"
uc-httpd 1.0.0_, "1"
Apache-AdvancedExtranetServer_1.3, "544"
Nginx_, "1"
sffe_, "31"
Ribose_, "1"
Oracle-iPlanet-Web-Server_7.0, "2"
gwiseguy_2.0, "6"
cloudns-nginx_, "4"
Jetty_5.1, "2"
WebSEAL_6.0, "1"
Microsoft-IIS_5.0, "1584"
IBM-PROXY-WTE_7.0, "1"
Proxy-BispoMacedo_, "1"
gunicorn_18.0, "6"
Apache_2.x, "108"
DPS_0.1, "1"
DPS_0.0, "9"
Terra Web Server_, "2"
Jetty(winstone-2.8)_, "1"
ATS_4.2, "277"
SDDArgentina_, "3"
ATS_4.0, "12"
openresty_1.7, "2"
Werkzeug_0.10, "1"
NetDNA-cache_2.2, "8"
Microsoft-HTTPAPI_2.0, "335"
none_, "5"
BWS_1.0, "1"
thin 1.6.1 codename Death Proof_, "3"
RosenProd_, "1"
Clubmed_, "1"
Apache mod_fcgid_2.3, "394"
IBM_HTTP_Server_8.0, "3"
4D_14.5, "2"
._, "1"
Cross Web Server_, "2"
TwistedWeb_8.1, "2"
Resin_4.0, "2"
.V07 Apache_, "97"
gunicorn_19.1, "5"
shakti-prod i-cf016b3f_, "1"
Not available_, "2"
Zope_(2.13, "1"
Unknown_, "6"
Snoodlenator 7_, "1"
FirstClass_5.5, "1"